id_municipio,ano,populacao_total,id_municipio_nome,pib,impostos_liquidos,valor_adicionado_precos_correntes_total,valor_adicionado_correntes_agropecuaria,valor_adicionado_correntes_industria,valor_adicionado_correntes_servicos,valor_adicionado_correntes_adm_defesa_edu_saude_seguranca_social,NM_UF,NM_UF_SIGLA,CD_MUN,AR_MUN_2024,nome_municipio,total_alfabetizados,quantidade_matricula,nome,centroide,nome_mesorregiao,longitude,latitude,pib_per_capita,va_per_capita,taxa_alfabetizacao,taxa_matricula,densidade_populacional,participacao_impostos,taxa_va_agroupecuaria,taxa_va_industria,taxa_va_servicos,taxa_va_addess,cluster_original,cluster_hierarquico
4209201,2018,2245,Lacerdópolis,92358000,7700000,84658000,28007000,12651000,28446000,15553000,Santa Catarina,SC,4209201.0,69.036,Lacerdópolis (SC),1839,426,Lacerdópolis,POINT(-51.5905906705473 -27.2508697807739),Oeste Catarinense,-51.5905906705473,-27.2508697807739,41139.420935412025,37709.57683741648,0.8191536748329621,0.1897550111358574,32.51926531085231,0.0833712293466727,0.3032438987418523,0.136977847073345,0.3079971415578509,0.1683990558478962,1.0,2.0
4209201,2019,2246,Lacerdópolis,105167000,8299000,96867000,35099000,13707000,31350000,16712000,Santa Catarina,SC,4209201.0,69.036,Lacerdópolis (SC),1839,435,Lacerdópolis,POINT(-51.5905906705473 -27.2508697807739),Oeste Catarinense,-51.5905906705473,-27.2508697807739,46824.13178984862,43128.6731967943,0.8187889581478184,0.1936776491540516,32.53375050698186,0.0789125866479028,0.3337453764013426,0.1303355615354626,0.2980973118944156,0.1589091635208763,1.0,2.0
4209201,2020,2247,Lacerdópolis,107396000,8449000,98948000,40076000,12930000,29826000,16116000,Santa Catarina,SC,4209201.0,69.036,Lacerdópolis (SC),1839,458,Lacerdópolis,POINT(-51.5905906705473 -27.2508697807739),Oeste Catarinense,-51.5905906705473,-27.2508697807739,47795.28259902092,44035.60302625723,0.8184245660881175,0.2038273253226524,32.548235703111416,0.0786714588997728,0.3731610115832992,0.1203955454579314,0.2777198405899661,0.1500614548027859,1.0,2.0
4209300,2016,158147,Lages,4749124000,502403000,4246721000,115547000,1096698000,2300245000,734231000,Santa Catarina,SC,4209300.0,2637.66,Lages (SC),128826,41220,Lages,POINT(-50.3404993096966 -28.0196573036995),Serrana,-50.3404993096966,-28.0196573036995,30029.807710547782,26852.99752761671,0.8145965462512725,0.2606435784428411,59.957310646557936,0.105788562269589,0.0243301712063108,0.2309263771592403,0.4843514298636969,0.1546034595011627,3.0,1.0
4209300,2017,157945,Lages,5075586000,541274000,4534312000,109699000,1244704000,2465122000,714787000,Santa Catarina,SC,4209300.0,2637.66,Lages (SC),128826,41120,Lages,POINT(-50.3404993096966 -28.0196573036995),Serrana,-50.3404993096966,-28.0196573036995,32135.14831112096,28708.17056570325,0.8156383551236189,0.260343790560005,59.88072761462812,0.1066426615567148,0.02161307088482,0.2452335552978513,0.4856822443753292,0.1408284678852845,3.0,1.0
4209300,2018,157743,Lages,5105747000,575625000,4530122000,115253000,1067533000,2582053000,765283000,Santa Catarina,SC,4209300.0,2637.66,Lages (SC),128826,41509,Lages,POINT(-50.3404993096966 -28.0196573036995),Serrana,-50.3404993096966,-28.0196573036995,32367.50283689292,28718.371021218056,0.8166828322017459,0.2631432139619508,59.80414458269831,0.1127406038724598,0.0225731905634963,0.2090845864473896,0.5057150305332403,0.1498865885834139,3.0,1.0
4209300,2019,157544,Lages,5568825000,619220000,4949605000,133175000,1110853000,2911796000,793782000,Santa Catarina,SC,4209300.0,2637.66,Lages (SC),128826,40846,Lages,POINT(-50.3404993096966 -28.0196573036995),Serrana,-50.3404993096966,-28.0196573036995,35347.74412227695,31417.286599299245,0.8177144162900523,0.2592672523231605,59.72869892252982,0.1111940130997113,0.0239143805021705,0.199477088972988,0.522874394508716,0.1425403024875086,3.0,1.0
4209300,2020,157349,Lages,5879523000,687005000,5192517000,138225000,1201596000,3048435000,804261000,Santa Catarina,SC,4209300.0,2637.66,Lages (SC),128826,40592,Lages,POINT(-50.3404993096966 -28.0196573036995),Serrana,-50.3404993096966,-28.0196573036995,37366.12879649696,33000.0,0.8187277961728388,0.2579743118799611,59.65476975804312,0.1168470639539976,0.0235095602143235,0.2043696401901991,0.5184833871727349,0.1367901783869201,3.0,1.0
4209409,2016,44863,Laguna,784302000,47858000,736444000,70470000,70666000,423681000,171627000,Santa Catarina,SC,4209409.0,333.259,Laguna (SC),34839,8960,Laguna,POINT(-48.8400653451613 -28.4658245670766),Sul Catarinense,-48.8400653451613,-28.4658245670766,17482.15678844482,16415.3979894345,0.7765642065844905,0.1997191449524106,134.61902004146924,0.0610198622469405,0.0898505932663693,0.0901004970024301,0.5402013510101976,0.2188276964740622,3.0,1.0
4209409,2017,45181,Laguna,841742000,51393000,790348000,75882000,75796000,452327000,186343000,Santa Catarina,SC,4209409.0,333.259,Laguna (SC),34839,8783,Laguna,POINT(-48.8400653451613 -28.4658245670766),Sul Catarinense,-48.8400653451613,-28.4658245670766,18630.44199995573,17492.928443372213,0.771098470596047,0.1943958743719705,135.57323283092128,0.061055525327238,0.0901487629226057,0.0900465938494217,0.5373701205357461,0.2213778093525094,3.0,1.0
4209409,2018,45500,Laguna,870879000,54661000,816218000,75106000,92797000,452047000,196267000,Santa Catarina,SC,4209409.0,333.259,Laguna (SC),34839,9042,Laguna,POINT(-48.8400653451613 -28.4658245670766),Sul Catarinense,-48.8400653451613,-28.4658245670766,19140.197802197803,17938.85714285714,0.7656923076923077,0.1987252747252747,136.53044628952256,0.0627653210147448,0.0862416018758059,0.1065555605313711,0.5190698133724662,0.2253665549404682,3.0,1.0
4209409,2019,45814,Laguna,891636000,56324000,835312000,72789000,92319000,464160000,206043000,Santa Catarina,SC,4209409.0,333.259,Laguna (SC),34839,8968,Laguna,POINT(-48.8400653451613 -28.4658245670766),Sul Catarinense,-48.8400653451613,-28.4658245670766,19462.08582529358,18232.67996682237,0.7604444056401973,0.1957480246212948,137.47265640237774,0.0631692753545168,0.081635331009515,0.1035388880664306,0.520571174784329,0.2310842092513088,3.0,1.0
4209409,2020,46122,Laguna,962832000,55244000,907588000,105128000,91531000,502101000,208829000,Santa Catarina,SC,4209409.0,333.259,Laguna (SC),34839,8981,Laguna,POINT(-48.8400653451613 -28.4658245670766),Sul Catarinense,-48.8400653451613,-28.4658245670766,20875.764277351373,19677.98447595508,0.7553662026798491,0.194722691990807,138.39686250033756,0.0573765724446217,0.1091862339432008,0.0950643518287717,0.5214834986788972,0.2168903817072968,3.0,1.0
4209458,2016,1457,Lajeado Grande,38098000,1310000,36788000,15980000,2617000,7538000,10653000,Santa Catarina,SC,4209458.0,65.348,Lajeado Grande (SC),1314,288,Lajeado Grande,POINT(-52.5521143809007 -26.8546633438996),Oeste Catarinense,-52.5521143809007,-26.8546633438996,26148.24982841455,25249.14207275223,0.901853122855182,0.1976664378860672,22.296015180265652,0.0343850070869861,0.4194445902672056,0.0686912698829334,0.1978581552837419,0.2796209774791328,1.0,2.0
4209458,2017,1447,Lajeado Grande,39369000,1387000,37982000,16033000,3021000,7901000,11028000,Santa Catarina,SC,4209458.0,65.348,Lajeado Grande (SC),1314,274,Lajeado Grande,POINT(-52.5521143809007 -26.8546633438996),Oeste Catarinense,-52.5521143809007,-26.8546633438996,27207.325501036627,26248.790601243956,0.9080856945404284,0.1893572909467864,22.142988308747015,0.0352307653229698,0.4072493586324265,0.0767355025527699,0.2006908989306307,0.280118875257182,1.0,2.0
4209458,2018,1437,Lajeado Grande,41366000,1362000,40003000,17446000,2332000,8665000,11560000,Santa Catarina,SC,4209458.0,65.348,Lajeado Grande (SC),1314,277,Lajeado Grande,POINT(-52.5521143809007 -26.8546633438996),Oeste Catarinense,-52.5521143809007,-26.8546633438996,28786.36047320807,27837.85664578984,0.9144050104384134,0.1927627000695894,21.989961437228377,0.0329255910651259,0.4217473287240729,0.056374800560847,0.209471546680849,0.2794565585263259,1.0,2.0
4209458,2019,1427,Lajeado Grande,50328000,1968000,48361000,20594000,4092000,10970000,12706000,Santa Catarina,SC,4209458.0,65.348,Lajeado Grande (SC),1314,299,Lajeado Grande,POINT(-52.5521143809007 -26.8546633438996),Oeste Catarinense,-52.5521143809007,-26.8546633438996,35268.39523475823,33889.97897687456,0.920812894183602,0.209530483531885,21.83693456570974,0.039103481163567,0.4091956763630583,0.0813066285169289,0.2179701160387855,0.2524638372277857,1.0,2.0
4209458,2020,1418,Lajeado Grande,61036000,2157000,58879000,29515000,4805000,11623000,12936000,Santa Catarina,SC,4209458.0,65.348,Lajeado Grande (SC),1314,333,Lajeado Grande,POINT(-52.5521143809007 -26.8546633438996),Oeste Catarinense,-52.5521143809007,-26.8546633438996,43043.72355430183,41522.56699576869,0.926657263751763,0.2348377997179125,21.699210381342965,0.0353397994626122,0.4835670751687528,0.0787240317189855,0.1904285995150403,0.211940494134609,1.0,2.0
4209508,2016,6679,Laurentino,252520000,34249000,218271000,20658000,69814000,98263000,29536000,Santa Catarina,SC,4209508.0,79.333,Laurentino (SC),6290,1392,Laurentino,POINT(-49.7329529904149 -27.2075614003904),Vale do Itajaí,-49.7329529904149,-27.2075614003904,37808.05509806857,32680.191645455907,0.9417577481658932,0.2084144332983979,84.18942936735029,0.1356288610803104,0.0818073815935371,0.2764691905591636,0.389129573895137,0.1169649928718517,4.0,3.0
4209508,2017,6776,Laurentino,257563000,35135000,222429000,18834000,65412000,106604000,31578000,Santa Catarina,SC,4209508.0,79.333,Laurentino (SC),6290,1403,Laurentino,POINT(-49.7329529904149 -27.2075614003904),Vale do Itajaí,-49.7329529904149,-27.2075614003904,38011.06847697757,32826.00354191264,0.92827626918536,0.2070543093270366,85.41212358035118,0.1364132270551282,0.0731238570757445,0.2539650493277373,0.4138948529097735,0.1226030136316163,4.0,3.0
4209508,2018,6875,Laurentino,268147000,37622000,230525000,13129000,77527000,106453000,33415000,Santa Catarina,SC,4209508.0,79.333,Laurentino (SC),6290,1458,Laurentino,POINT(-49.7329529904149 -27.2075614003904),Vale do Itajaí,-49.7329529904149,-27.2075614003904,39003.2,33530.90909090909,0.9149090909090908,0.2120727272727272,86.66002798331085,0.1403036394216605,0.0489619499752001,0.2891212655744796,0.3969949318843768,0.1246144838465468,4.0,3.0
4209508,2019,6970,Laurentino,289932000,42065000,247867000,15638000,84366000,112494000,35369000,Santa Catarina,SC,4209508.0,79.333,Laurentino (SC),6290,1436,Laurentino,POINT(-49.7329529904149 -27.2075614003904),Vale do Itajaí,-49.7329529904149,-27.2075614003904,41597.13055954089,35561.97991391679,0.902439024390244,0.206025824964132,87.85751200635298,0.1450857442434777,0.0539367851772139,0.2909854724556103,0.3880013244484914,0.1219906736752066,4.0,3.0
4209508,2020,7063,Laurentino,336694000,47687000,289007000,20451000,98212000,134059000,36286000,Santa Catarina,SC,4209508.0,79.333,Laurentino (SC),6290,1517,Laurentino,POINT(-49.7329529904149 -27.2075614003904),Vale do Itajaí,-49.7329529904149,-27.2075614003904,47670.11185048846,40918.44825145123,0.8905564207843693,0.2147812544244655,89.0297858394363,0.1416330555341051,0.0607406131383392,0.291695129702341,0.3981627234224548,0.1077714482586562,4.0,3.0
