taxa_va_agroupecuaria,taxa_va_servicos,taxa_va_industria,taxa_va_addess,participacao_impostos,cluster_hierarquico
0.2873273916535975,0.2746280074972267,0.0455188769460276,0.3201774853689324,0.0723482385342156,2.0
0.0841102899294332,0.502281213693837,0.1825635626262945,0.1096558430036752,0.1213891613813181,1.0
0.0396043502695292,0.5114842881732244,0.1538187715314652,0.1776501815762481,0.1174424084495329,1.0
0.244185379299593,0.3266970745823964,0.2164826349003911,0.1245107793643352,0.0881246731762558,3.0
0.1791435278544762,0.2766833162700752,0.0285111531660099,0.4772748425526634,0.0383768187881984,0.0
0.3170098752700524,0.1598240335223972,0.2297341574691112,0.1925775564417698,0.100855682685969,2.0
0.0156155911616654,0.1245968597382615,0.361985132294294,0.3990708219668316,0.0987315948389474,3.0
0.1360232797473295,0.1948259342063238,0.0374747152134568,0.5882039816884914,0.0434720891443983,0.0
0.0653588789776,0.2675186666594889,0.0466895278290688,0.5693075436452608,0.0511253828885814,0.0
0.3181777162796294,0.2048489953074239,0.0466099145710504,0.4033810612441342,0.0269973529057875,2.0
0.1058155755447592,0.3064216653037664,0.0765885804993025,0.458983116070999,0.0522006830535379,0.0
0.0413863141972638,0.511284666292352,0.0643192228982385,0.263127859134965,0.1198804034007406,1.0
0.0317334787651415,0.4216426815838947,0.1130060629153076,0.3230140602690628,0.1106037164665932,1.0
0.0434307345809887,0.320294331262059,0.0426017357621286,0.522437990154722,0.0712352082401015,0.0
0.0980214611995567,0.1616617563586236,0.2701840689785658,0.4384139254534151,0.0317187880098386,0.0
0.2068102311048278,0.3205136863463706,0.0818209241491713,0.3033838045026346,0.0874713538969955,1.0
0.376011449205563,0.1361875697600368,0.1575612461738973,0.2596659735362661,0.0705760438612308,2.0
0.3165544675642595,0.1372016523867809,0.0389891880864953,0.474500203998368,0.0327417380660954,0.0
0.5002260255551931,0.212361022894386,0.097231043894735,0.1408053376364021,0.0493765700192837,2.0
0.2202560447895178,0.2522561473833087,0.0601914107012652,0.3965323298683502,0.0707622352255781,0.0
0.3565346290043646,0.2259573416783332,0.0710038705426995,0.3157374619122128,0.0307831672568558,2.0
0.0447373798310824,0.4545364982680107,0.0702890865216206,0.3621913069707702,0.0682457284085159,1.0
0.1186194401023163,0.2792027852778173,0.0476126190137842,0.5017940883899389,0.0527746198664203,0.0
0.0450744036685352,0.3927208446966586,0.1135568973043527,0.388282124534842,0.0603657297956114,1.0
0.0068372498762222,0.5491557848859728,0.0923954961721505,0.2793639673563419,0.0722475017093124,1.0
0.562144195467275,0.2421288546739482,0.0345167849851985,0.1229221015288858,0.0382880633446924,2.0
0.0419331816161915,0.3322605405259827,0.2985146981591953,0.158058738772707,0.1692301477222229,3.0
0.1773537022739,0.2051657313189747,0.5092952177548327,0.0637489708614545,0.044436377790838,3.0
0.3557356407193362,0.1175669131178768,0.3855035030510444,0.1070674458399251,0.0341264972718173,3.0
0.0623410762231761,0.4640944591086345,0.2184816194005753,0.1718899820376015,0.0831928632300125,1.0
0.3765176784523015,0.1602134756504336,0.1690326884589726,0.2412568378919279,0.0529793195463642,2.0
0.1231158226715272,0.308737734297295,0.3523584360620155,0.1029220183382309,0.1128671214596271,3.0
0.1149441211785351,0.2146177765462886,0.0336504417967427,0.6081555370832179,0.028616729780487,0.0
0.3516606803472902,0.1582816333023551,0.0393171409673557,0.4300186706184747,0.0207218747645241,2.0
0.0777841611392559,0.3615797078741665,0.1605995717344753,0.3482529900245469,0.0518009783952229,1.0
0.3264179985605033,0.2099697274391246,0.0993387480692144,0.3014316791701598,0.0628418467609977,2.0
1.5138019719480272e-05,0.6492567843480022,0.1268636101093012,0.0219716603107355,0.2018927601997579,4.0
0.3707510423994921,0.3574829698519192,0.0320655810840954,0.1370004632886631,0.10269994337583,2.0
0.2927240658926676,0.1750188362615158,0.0393463817254015,0.4458971197643755,0.0470135963560395,0.0
0.3786197998654246,0.2678482137896549,0.1251242352970226,0.1534344500620404,0.0749733009858572,2.0
0.0281745535812743,0.3028406125254545,0.0920846596631551,0.4778904188139119,0.0990097554162041,0.0
0.4571951811482282,0.2482091111013047,0.0632143329950134,0.1865319270994219,0.044856802435903,2.0
0.4238175650282862,0.1713309314666252,0.0396007355925578,0.3301648068067366,0.035085961105794,2.0
0.0458447464185879,0.4463491251061627,0.2448331767842378,0.106856709769226,0.1561169449865855,3.0
0.1946745900234272,0.1466011466011466,0.0178846923032969,0.6121364493457516,0.0286840751957031,0.0
0.403757526202334,0.1534230283208206,0.0356983572437374,0.3692856611908124,0.037854010257935,2.0
0.5924434183252161,0.1739375452906183,0.0749935118556092,0.097581691636192,0.0610431587994405,2.0
0.1434042817425495,0.398440126954967,0.15813954033304,0.2317631111230875,0.0682529398463559,1.0
0.4066715050597724,0.2541525737056157,0.0522272584112725,0.2592328864666493,0.0277157763566899,2.0
0.0220786534964378,0.5883550045415672,0.1721085197524988,0.0713274460463714,0.1461303761631247,1.0
0.2407079646017699,0.1895876482771606,0.0517416682357371,0.4697420448126529,0.0482206740726793,0.0
0.0806641322805059,0.2802129205522125,0.4810462973742207,0.1260823662121096,0.0319902692417314,3.0
0.0900541563849948,0.3725863200439956,0.2924669674673252,0.1328150075949781,0.1120765263043838,3.0
0.2014266348202182,0.2156477954941578,0.0254470337615389,0.5190885030017429,0.0383835775611645,0.0
0.3068063783401248,0.1343583421794564,0.0318802862719583,0.498932758049972,0.0280222351584882,0.0
0.165082639838661,0.437544912955794,0.0625362201256403,0.266661257794571,0.0681749692853334,1.0
0.1059560889731523,0.2305413549107898,0.0300132037783119,0.5948894606764398,0.0385998916613061,0.0
0.1520858147680901,0.1969666001818348,0.1843861664564054,0.3937288123647691,0.0728326062289004,0.0
0.0414142058379573,0.2106639454046814,0.2778663605246933,0.3826296319918362,0.0874258562408316,3.0
0.5543660269511463,0.1501407989659354,0.0803036725238477,0.1907689595984606,0.0244205419606098,2.0
0.0303871655999956,0.4943105292921291,0.0629257239579747,0.2918073014293881,0.1205700533245245,1.0
0.3240323315622055,0.279805751077645,0.2088751052574919,0.1187997622765997,0.0684870498260578,2.0
0.5108693055588734,0.2288048541601968,0.0332887413105277,0.1828790521010009,0.044169991161224,2.0
0.0903784063024667,0.265271858452796,0.033759524732016,0.5802402169701666,0.0303241637608162,0.0
0.0782917879094079,0.4038048061509007,0.2378130468585784,0.1470006508487625,0.1330897082323504,3.0
0.2088935904173386,0.4020456179137294,0.2016230844040133,0.1061166180405801,0.0813210892243384,1.0
0.5305983467969191,0.1724239150854781,0.0334163065940259,0.235381833552508,0.0281795979710689,2.0
0.0148192792441458,0.36374594508358,0.0313934731356247,0.5341499299806782,0.055873646145392,0.0
0.3266496827593739,0.2736250280906546,0.1546886715378137,0.1564927741385357,0.088543843473622,2.0
0.0792165444166912,0.2810189817380851,0.2111169496771593,0.3373379497995292,0.091309574368535,1.0
0.1389485033107194,0.3037877477953965,0.2214876369295239,0.2613383239927988,0.0744377879715613,1.0
0.2177309031486707,0.3156241684188433,0.2728348281492642,0.1161233982107184,0.0776867020725032,3.0
0.2167402210403229,0.3334610016741962,0.1845881100152911,0.1491108190214221,0.1160998482487675,1.0
0.2518692704793048,0.3089486157294288,0.0326272665478661,0.3631253100141458,0.0434111660206125,0.0
0.2264629684036217,0.1645255201517053,0.0315563152693571,0.5529900376592506,0.0244518041718971,0.0
0.3300662646751752,0.2348028039971874,0.0389278332942705,0.3513093132763727,0.044893784756994,2.0
0.220489640382975,0.2252568977750141,0.1886693930914627,0.3173096086544057,0.0482744600961423,0.0
0.2932672995200744,0.3548207502625143,0.1520107895163393,0.1207953656525507,0.0791057950485211,2.0
0.3738466680658225,0.2812536436350069,0.090066770826046,0.2074326267596328,0.0474002907134917,2.0
0.2058613260089278,0.3266624246697507,0.2599222191376298,0.1183394301802521,0.0892146000034394,3.0
0.1381651192971947,0.2744334631127084,0.0447239692522711,0.5064889687531197,0.036188479584706,0.0
0.3250247207085902,0.3013612168900296,0.0575992510151269,0.2529770044812859,0.0630430666301992,2.0
0.0237924483413727,0.3238210661692451,0.3875388323236642,0.2103548265863069,0.0544945505449455,3.0
0.3803987989837555,0.2095465393794749,0.1015782585264454,0.2558934483024097,0.0525983524520748,2.0
0.4338651013720335,0.2571662645395945,0.0605261262558968,0.1799038496164788,0.0685296553710972,2.0
0.1628500696271081,0.2917375831657125,0.0512146062200216,0.4610475011604518,0.0331889215534581,0.0
0.0330622253647101,0.1366793080387364,0.7535123913254568,0.0435799107490867,0.0331668483322551,4.0
0.2405681116462887,0.3749833271582067,0.0995084599234284,0.1503198715573669,0.1346202297147091,1.0
0.0791479716197543,0.1785875083448479,0.0349163962677182,0.6726646069770691,0.0346835167906103,0.0
0.1953974028366181,0.2379696997605452,0.0526570270768097,0.4569557008657211,0.0570086572112727,0.0
0.1988999083256938,0.3576464705392116,0.0937494791232602,0.2794316193016085,0.0702641886823902,1.0
0.3551323357909509,0.3117847047893894,0.0872289537664802,0.2028522859797197,0.0429918364926567,2.0
0.111888524783751,0.4301016542182072,0.0479142680010627,0.3468888692075301,0.0632066837894488,1.0
0.0383778036555111,0.2813022125462002,0.1071169392267058,0.4470828481258332,0.1261201964457496,0.0
0.1663491178338522,0.2333441764642099,0.0322660594513375,0.5401737998977648,0.0278513561658689,0.0
0.0437161051378469,0.2470002456491752,0.0373575707186183,0.6246858524971184,0.0472307779520417,0.0
0.0097731200588343,0.4943320463320463,0.2777106085677514,0.1239264570693142,0.0942570325427468,1.0
0.5843064818350546,0.1387480352020744,0.0435585709591766,0.1849973802694326,0.0483895317342616,2.0
