,id_municipio,id_municipio_nome,ano,pib,impostos_liquidos,va,va_agropecuaria,va_industria,va_servicos,va_adespss
123,2202026,Buriti dos Montes,2002,8357000,177000,8180000,1301000,391000,1072000,5416000
124,2203008,Cristalândia do Piauí,2002,8469000,159000,8310000,2066000,181000,1323000,4741000
125,2205300,Jerumenha,2002,7287000,244000,7043000,1297000,294000,1655000,3797000
126,2205516,Juazeiro do Piauí,2002,6122000,168000,5954000,861000,202000,1094000,3797000
127,2205557,Lagoa Alegre,2002,8073000,234000,7840000,689000,187000,1638000,5325000
128,2301505,Arneiroz,2002,12708000,447000,12261000,3768000,423000,2060000,6010000
129,2305506,Iguatu,2002,313965000,30037000,283927000,41448000,43219000,129166000,70095000
130,2306256,Itaitinga,2002,53324000,3958000,49366000,1630000,7540000,17358000,22838000
131,2310100,Palmácia,2002,20615000,471000,20143000,6753000,1085000,3862000,8444000
132,2404804,Ipueira,2002,4996000,197000,4798000,593000,255000,1081000,2869000
133,2406007,José da Penha,2002,11197000,370000,10827000,1364000,492000,2188000,6782000
134,2406403,Lagoa de Velhos,2002,7681000,295000,7386000,1403000,468000,1326000,4189000
135,2408706,Paraú,2002,14444000,605000,13839000,4912000,1657000,1791000,5479000
136,2505352,Damião,2002,6684000,154000,6530000,722000,143000,1244000,4420000
137,2505709,Dona Inês,2002,17849000,427000,17422000,1852000,458000,4202000,10910000
138,2506301,Guarabira,2002,159840000,15656000,144184000,3979000,16960000,74757000,48488000
139,2514206,São José da Lagoa Tapada,2002,12620000,278000,12342000,1560000,336000,2444000,8003000
140,2600609,Alagoinha,2002,24764000,647000,24117000,6210000,511000,5376000,12020000
141,2602001,Bodocó,2002,49900000,1581000,48319000,7415000,1156000,10510000,29239000
142,2611101,Petrolina,2002,1142406000,123186000,1019220000,152332000,211692000,438881000,216314000
143,2903201,Barreiras,2002,824276000,88507000,735769000,223855000,105434000,315865000,90614000
144,2906501,Candeias,2002,855407000,113761000,741646000,4053000,422868000,229436000,85289000
145,2908309,Conceição do Almeida,2002,39239000,1792000,37447000,11382000,1584000,10526000,13954000
146,2909307,Correntina,2002,274958000,12495000,262462000,145065000,39221000,54173000,24003000
147,2909901,Curaçá,2002,55402000,3652000,51750000,16075000,4840000,9620000,21215000
148,2916203,Itapé,2002,21914000,645000,21269000,5358000,655000,4534000,10722000
149,2922730,Nova Fátima,2002,12167000,766000,11400000,1555000,572000,3639000,5635000
150,2927903,Santa Inês,2002,16677000,1030000,15647000,1573000,601000,5232000,8241000
151,2928703,Santo Antônio de Jesus,2002,378526000,58518000,320008000,42633000,37293000,186861000,53221000
152,2929255,São Gabriel,2002,26073000,878000,25195000,4155000,1034000,5532000,14473000
153,2929750,Saubara,2002,24011000,655000,23356000,5340000,3157000,7389000,7470000
154,3101805,Alpercata,2002,20575000,1328000,19247000,2052000,2525000,7876000,6794000
155,3115102,Cássia,2002,84992000,6489000,78503000,18109000,6969000,36143000,17282000
156,3116605,Cláudio,2002,95678000,9914000,85764000,7494000,18148000,36715000,23407000
157,3121605,Diamantina,2002,137609000,11545000,126064000,3186000,14920000,68896000,39063000
158,3125309,Faria Lemos,2002,12831000,759000,12072000,2228000,1748000,3654000,4442000
159,3127305,Galiléia,2002,19256000,1148000,18108000,2995000,972000,6656000,7485000
160,3131158,Ipaba,2002,25513000,739000,24774000,2152000,1304000,8081000,13236000
161,3141306,Medeiros,2002,16777000,550000,16227000,8695000,592000,3167000,3772000
162,3142205,Miraí,2002,37346000,2389000,34958000,3606000,4373000,14994000,11986000
163,3142908,Monte Azul,2002,48434000,2644000,45790000,4701000,1797000,17410000,21882000
164,3144607,Nepomuceno,2002,117208000,6806000,110402000,41454000,7364000,38891000,22693000
165,3145604,Oliveira,2002,165269000,16680000,148588000,17362000,17140000,77590000,36496000
166,3146552,Pai Pedro,2002,9556000,238000,9318000,1500000,299000,1575000,5944000
167,3148806,Pedra do Anta,2002,8287000,248000,8039000,1412000,330000,1990000,4307000
168,3149804,Perdizes,2002,123105000,4901000,118204000,66345000,8547000,28316000,14996000
169,3153004,Pratinha,2002,19114000,494000,18620000,10115000,860000,3706000,3939000
170,3157252,Santa Bárbara do Leste,2002,18723000,980000,17743000,4387000,974000,5276000,7106000
171,3164902,São Sebastião do Rio Verde,2002,5756000,198000,5558000,630000,292000,1712000,2924000
172,3165909,Senador Modestino Gonçalves,2002,11152000,411000,10742000,1401000,845000,2731000,5765000
173,3169604,Tupaciguara,2002,143772000,13679000,130093000,37678000,9735000,57750000,24930000
174,3200136,Águia Branca,2002,30650000,2963000,27688000,5813000,2948000,7339000,11588000
175,3200201,Alegre,2002,92365000,7846000,84518000,6870000,7232000,37776000,32640000
176,3201159,Brejetuba,2002,41491000,4522000,36970000,16062000,2787000,6502000,11619000
177,3203353,Marilândia,2002,35244000,3233000,32011000,4241000,5554000,10173000,12042000
178,3203809,Muqui,2002,36814000,2491000,34323000,2269000,3158000,14368000,14528000
179,3301157,Cardoso Moreira,2002,57895000,1505000,56390000,6879000,3668000,14803000,31039000
180,3504701,Balbinos,2002,7371000,414000,6957000,1672000,732000,1920000,2634000
181,3507605,Bragança Paulista,2002,1338988000,185430000,1153558000,23635000,407586000,585309000,137028000
182,3511508,Cerquilho,2002,431674000,80570000,351104000,14369000,159503000,140522000,36710000
183,3520202,Igaratá,2002,37025000,2854000,34171000,3329000,4302000,15684000,10856000
184,3538907,Pirajuí,2002,97030000,6090000,90939000,13854000,11452000,45997000,19636000
185,3548203,Santo Antônio do Pinhal,2002,23815000,1149000,22666000,2365000,1346000,10719000,8236000
186,3553302,Tambaú,2002,211591000,16937000,194654000,72875000,31541000,66637000,23602000
187,4100509,Altônia,2002,66089000,4362000,61726000,12521000,5382000,25866000,17957000
188,4101051,Anahy,2002,17203000,688000,16515000,7914000,1231000,3991000,3379000
189,4103107,Bocaiúva do Sul,2002,39472000,2436000,37037000,10808000,7619000,9291000,9318000
190,4105102,Centenário do Sul,2002,52124000,2661000,49462000,15616000,4874000,17890000,11082000
191,4107702,Fênix,2002,37989000,1899000,36090000,17385000,2452000,10623000,5629000
192,4114401,Mangueirinha,2002,366564000,8818000,357746000,34255000,269693000,33904000,19893000
193,4127106,Telêmaco Borba,2002,845157000,77423000,767734000,195732000,337313000,172336000,62353000
194,4128203,União da Vitória,2002,339136000,37714000,301422000,19478000,99061000,134179000,48703000
195,4201604,Arroio Trinta,2002,23158000,1675000,21484000,6968000,3822000,6474000,4220000
196,4202404,Blumenau,2002,3862583000,588977000,3273606000,19644000,1197570000,1706366000,350026000
197,4203956,Capivari de Baixo,2002,154474000,8013000,146460000,2885000,92194000,28546000,22836000
198,4215455,Sangão,2002,46869000,4022000,42847000,4523000,17097000,12055000,9172000
199,4301503,Augusto Pestana,2002,55461000,3874000,51587000,21117000,3114000,20308000,7048000
200,4308300,Fontoura Xavier,2002,50417000,2361000,48057000,19528000,2761000,16010000,9758000
201,4308854,Gentil,2002,26264000,1301000,24962000,15419000,1681000,5641000,2222000
202,4311718,Maçambará,2002,76429000,2780000,73648000,46967000,4197000,16203000,6281000
203,4313011,Nova Candelária,2002,25687000,774000,24913000,9824000,9385000,2623000,3081000
204,4316451,Salto do Jacuí,2002,336119000,42631000,293488000,26007000,124684000,127613000,15185000
205,4316600,Sananduva,2002,125830000,16777000,109052000,29555000,13033000,53803000,12661000
206,5004601,Itaquiraí,2002,100537000,5972000,94565000,53804000,4324000,15906000,20531000
207,5006606,Ponta Porã,2002,444474000,42859000,401616000,121293000,59977000,146395000,73950000
208,5105234,Lambari D'Oeste,2002,38233000,2671000,35562000,18203000,6467000,5165000,5726000
209,5105606,Matupá,2002,68451000,11239000,57212000,9708000,12622000,19721000,15161000
210,5106273,Novo Horizonte do Norte,2002,13067000,964000,12103000,3941000,1056000,2421000,4685000
211,5107701,Rosário Oeste,2002,52729000,3159000,49570000,9050000,5834000,14678000,20008000
212,5204805,Campo Alegre de Goiás,2002,105390000,3175000,102215000,70221000,6009000,19530000,6455000
213,5207105,Diorama,2002,12029000,434000,11594000,5827000,378000,1862000,3528000
214,5207253,Doverlândia,2002,43090000,2543000,40546000,19436000,2324000,10661000,8126000
215,5207600,Fazenda Nova,2002,30141000,1572000,28569000,11254000,2036000,7929000,7349000
216,5208608,Goianésia,2002,254011000,31978000,222034000,30475000,42912000,97614000,51033000
217,5214903,Nova Roma,2002,13477000,447000,13030000,5588000,337000,2283000,4822000
218,5217609,Planaltina,2002,169232000,10739000,158493000,10315000,12803000,64619000,70756000
219,1101005,Governador Jorge Teixeira,2002,43979000,1689000,42290000,12082000,1718000,4590000,23899000
